time,seconds_elapsed,z,y,x
1788893102237826800,0.150826904296875,0.3952127993106842,-0.02210422046482563,-0.11318425834178925
1788893102247842600,0.160842529296875,0.5305013060569763,0.20692746341228485,-0.16112112998962402
1788893102257858600,0.170858642578125,0.6231792569160461,0.42850229144096375,-0.21544957160949707
1788893102267875000,0.180875,0.6689855456352234,0.568051815032959,-0.2612559199333191
1788893102277891800,0.190891845703125,0.6455497741699219,0.5978792309761047,-0.32091066241264343
1788893102287909600,0.20090966796875,0.5944170951843262,0.6564686894416809,-0.3837612271308899
1788893102297928200,0.21092822265625,0.5613939166069031,0.7608645558357239,-0.45619916915893555
1788893102307947500,0.220947509765625,0.5592634081840515,0.8950877785682678,-0.5286371111869812
1788893102317968000,0.2309677734375,0.5869602560997009,1.0026793479919434,-0.6010749936103821
1788893102327989000,0.240989013671875,0.6476802825927734,1.044224739074707,-0.6799045205116272
1788893102338011100,0.25101123046875,0.7510108947753906,0.9739173054695129,-0.7576687932014465
1788893102348034000,0.261033935546875,0.8660593628883362,0.8098666667938232,-0.8247803449630737
1788893102358057700,0.2710576171875,0.9534109830856323,0.5797697305679321,-0.8737825155258179
1788893102368082000,0.28108203125,0.997086763381958,0.3315632939338684,-0.8844351172447205
1788893102378106400,0.2911064453125,0.9949562549591064,0.10679268091917038,-0.8503466844558716
1788893102388131300,0.30113134765625,0.9683246612548828,-0.0732368752360344,-0.7843003273010254
1788893102398156300,0.31115625,0.9267793893814087,-0.1808284968137741,-0.7086666226387024
1788893102408180700,0.3211806640625,0.8617982864379883,-0.19893798232078552,-0.6490118503570557
1788893102418201900,0.331201904296875,0.80001300573349,-0.1861548274755478,-0.6213150024414062
1788893102428223000,0.341222900390625,0.7765771746635437,-0.20106850564479828,-0.629837155342102
1788893102438241300,0.3512412109375,0.7957519292831421,-0.28628960251808167,-0.6745781898498535
1788893102448260000,0.361260009765625,0.8575372099876404,-0.4343612492084503,-0.7395592927932739
1788893102458279000,0.37127880859375,0.9640635848045349,-0.5227781534194946,-0.7917572259902954
1788893102468298200,0.38129833984375,1.0918952226638794,-0.5270391702651978,-0.7917572259902954
1788893102478317800,0.39131787109375,1.1643331050872803,-0.4247738718986511,-0.7544729709625244
1788893102488338000,0.401337890625,1.1643331050872803,-0.2564622163772583,-0.6937529444694519
1788893102498358500,0.411358642578125,1.0993521213531494,-0.09347688406705856,-0.6255760788917542
1788893102508379600,0.421379638671875,0.988564670085907,0.00985368900001049,-0.5723128914833069
1788893102518401300,0.4314013671875,0.8735162019729614,-0.007190529722720385,-0.5414202213287354
1788893102528423200,0.441423095703125,0.7946866750717163,-0.1478053331375122,-0.5318328738212585
1788893102538445600,0.451445556640625,0.7701855897903442,-0.35659700632095337,-0.529702365398407
1788893102548468200,0.46146826171875,0.8032087683677673,-0.5366265773773193,-0.5147886276245117
1788893102558491100,0.4714912109375,0.8607330322265625,-0.6335655450820923,-0.47537389397621155
1788893102568514300,0.481514404296875,0.8735162019729614,-0.5984118580818176,-0.41465386748313904
1788893102578537500,0.491537353515625,0.817057192325592,-0.450340211391449,-0.3464770019054413
1788893102588566000,0.50156591796875,0.6998782157897949,-0.2234390527009964,-0.28682222962379456
1788893102598582300,0.511582275390625,0.5496760606765747,0.026897907257080078,-0.2516685426235199
