time,seconds_elapsed,z,y,x
1788893102237826800,0.150826904296875,0.39606189727783203,-0.2771759033203125,-0.3336138129234314
1788893102247842600,0.160842529296875,0.37782764434814453,0.03554856777191162,-0.23801806569099426
1788893102257858600,0.170858642578125,0.2573204040527344,0.06316447257995605,0.00844360888004303
1788893102267875000,0.180875,0.014616012573242188,0.06711757183074951,0.3518660068511963
1788893102277891800,0.190891845703125,-0.1683359146118164,0.14589929580688477,0.698167622089386
1788893102287909600,0.20090966796875,-0.26595401763916016,0.28149688243865967,0.5853255391120911
1788893102297928200,0.21092822265625,-0.3873023986816406,0.3006671667098999,0.25474488735198975
1788893102307947500,0.220947509765625,-0.549036979675293,0.09696054458618164,0.052305757999420166
1788893102317968000,0.2309677734375,-0.7625370025634766,-0.17008495330810547,-0.11168128252029419
1788893102327989000,0.240989013671875,-1.0613279342651367,-0.17267847061157227,-0.4038504958152771
1788893102338011100,0.25101123046875,-1.3390932083129883,0.02253425121307373,-0.6357972621917725
1788893102348034000,0.261033935546875,-1.4507875442504883,0.15154433250427246,-0.631919264793396
1788893102358057700,0.2710576171875,-1.3754281997680664,0.23978209495544434,-0.46087342500686646
1788893102368082000,0.28108203125,-1.0778388977050781,0.30498313903808594,-0.22719192504882812
1788893102378106400,0.2911064453125,-0.7044887542724609,0.4681684970855713,-0.09442812204360962
1788893102388131300,0.30113134765625,-0.4123191833496094,0.691281795501709,-0.062307775020599365
1788893102398156300,0.31115625,-0.1592845916748047,0.6932957172393799,0.05393052101135254
1788893102408180700,0.3211806640625,-0.09723472595214844,0.4856112003326416,0.11230605840682983
1788893102418201900,0.331201904296875,-0.2537956237792969,0.3176180124282837,-0.0422588586807251
1788893102428223000,0.341222900390625,-0.5421924591064453,0.14399027824401855,-0.192166268825531
1788893102438241300,0.3512412109375,-0.7279443740844727,-0.01903247833251953,-0.2745509147644043
1788893102448260000,0.361260009765625,-0.6263198852539062,0.0642695426940918,-0.4121381640434265
1788893102458279000,0.37127880859375,-0.09905147552490234,0.19449281692504883,-0.3890542984008789
1788893102468298200,0.38129833984375,0.5444602966308594,0.29624736309051514,-0.3413318395614624
1788893102478317800,0.39131787109375,1.1168231964111328,0.3309180736541748,-0.1870865821838379
1788893102488338000,0.401337890625,1.3527555465698242,0.38266265392303467,0.09824401140213013
1788893102498358500,0.411358642578125,1.156179428100586,0.39055538177490234,0.4582544267177582
1788893102508379600,0.421379638671875,0.6973333358764648,0.3019000291824341,0.7177216410636902
1788893102518401300,0.4314013671875,0.191558837890625,0.1492910385131836,0.738681972026825
1788893102528423200,0.441423095703125,-0.06827259063720703,-0.07804560661315918,0.5638350248336792
1788893102538445600,0.451445556640625,-0.0012979507446289062,-0.17797160148620605,0.3795061707496643
1788893102548468200,0.46146826171875,0.3326101303100586,-0.015863656997680664,0.46455979347229004
1788893102558491100,0.4714912109375,0.8478822708129883,0.13360929489135742,0.6243821382522583
1788893102568514300,0.481514404296875,1.307795524597168,0.17618727684020996,1.0688713788986206
1788893102578537500,0.491537353515625,1.5560684204101562,0.2498188018798828,1.5060226917266846
1788893102588566000,0.50156591796875,1.4818172454833984,0.39693713188171387,1.7134475708007812
1788893102598582300,0.511582275390625,1.0603389739990234,0.49662232398986816,1.7730375528335571
1788893102608598800,0.521598876953125,0.46773529052734375,0.407764196395874,1.6575443744659424
1788893102618615600,0.531615478515625,-0.01651477813720703,0.1559293270111084,1.393918752670288
1788893102628632800,0.5416328125,-0.36270904541015625,-0.12791180610656738,0.9947935342788696
1788893102638651000,0.55165087890625,-0.5465211868286133,-0.3359200954437256,0.5772499442100525
1788893102648669700,0.561669677734375,-0.539093017578125,-0.47055506706237793,0.287431925535202
1788893102658689000,0.57168896484375,-0.29784488677978516,-0.6666843891143799,0.22733235359191895
1788893102668709600,0.581709716796875,0.10216808319091797,-0.7987246513366699,0.1830461025238037
1788893102678730800,0.591730712890625,0.41884708404541016,-0.7665426731109619,0.11308982968330383
1788893102688752600,0.601752685546875,0.4805946350097656,-0.7192666530609131,0.036224365234375
1788893102698775300,0.611775390625,0.3068399429321289,-0.7356936931610107,0.02066659927368164
1788893102708798700,0.621798828125,-0.09777259826660156,-0.737680196762085,0.028384476900100708
1788893102718822700,0.63182275390625,-0.39507007598876953,-0.6947634220123291,-0.11714127659797668
1788893102728846800,0.641846923828125,-0.5633907318115234,-0.63916015625,-0.18296805024147034
1788893102738871300,0.651871337890625,-0.5535211563110352,-0.5050239562988281,-0.2226683497428894
1788893102748896000,0.66189599609375,-0.5197439193725586,-0.26701951026916504,0.37137162685394287
1788893102758920400,0.67192041015625,-0.45438575744628906,0.48392367362976074,2.6076107025146484
1788893102768941800,0.68194189453125,0.36721038818359375,0.8155813217163086,2.6808598041534424
1788893102778960100,0.691960205078125,0.84149169921875,0.5810136795043945,2.5900795459747314
1788893102788978700,0.701978759765625,0.3056612014770508,-0.10600996017456055,2.3137829303741455
1788893102798997800,0.711997802734375,-0.2211465835571289,-0.5324201583862305,1.6621079444885254
1788893102809016800,0.722016845703125,-0.17883872985839844,-0.7037079334259033,1.1607646942138672
1788893102819036700,0.73203662109375,0.07931804656982422,-0.7192840576171875,0.8875032663345337
1788893102829056800,0.742056884765625,0.12073135375976562,-0.5680105686187744,0.5807842016220093
1788893102839077400,0.752077392578125,0.0006113052368164062,-0.37914204597473145,0.40224528312683105
1788893102849098500,0.762098388671875,-0.17461395263671875,-0.3784151077270508,0.614720344543457
1788893102859120000,0.7721201171875,-0.026020050048828125,-0.4570159912109375,0.7950732111930847
1788893102869142000,0.78214208984375,-0.010399818420410156,-0.11074614524841309,0.6449596881866455
1788893102879164400,0.792164306640625,0.0682525634765625,-0.009247064590454102,0.8812562227249146
1788893102889187000,0.80218701171875,0.06253337860107422,-0.17784714698791504,0.965041995048523
1788893102899210000,0.8122099609375,-0.1820220947265625,-0.17924070358276367,0.7204247713088989
1788893102909233200,0.822233154296875,-0.07659149169921875,-0.12093710899353027,0.375344455242157
1788893102919256300,0.83225634765625,0.4540290832519531,-0.1705164909362793,-0.09333337098360062
